epoch,loss,val_loss
1,0.001340211252681911,0.0008890060125850141
2,0.0012113213306292892,0.0009193852893076837
3,0.0011951938504353166,0.0009586585219949484
4,0.0011838861973956227,0.0008696724544279277
5,0.0011789982672780752,0.0008590988582000136
6,0.0011727537494152784,0.0010145000414922833
7,0.00116821622941643,0.0008890339522622526
8,0.0011656694114208221,0.0008537550456821918
9,0.0011639040894806385,0.0008967848843894899
10,0.0011600415455177426,0.0009175010491162539
11,0.0011594588868319988,0.0008757708128541708
12,0.0011574639938771725,0.0009020164725370705
13,0.0011580156860873103,0.0008489828906022012
14,0.0011584109161049128,0.0009173052967526019
15,0.001157082850113511,0.0008730384870432317
16,0.0011585141764953732,0.0008937531965784729
17,0.001157284015789628,0.0008791091968305409
18,0.0011575550306588411,0.0008506318554282188
